id,business_id,function_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,2,8
9,2,9
10,2,10
11,2,11
12,2,12
13,3,8
14,3,9
15,3,10
16,3,11
17,3,12
18,4,8
19,4,9
20,4,10
21,4,11
22,4,12
23,5,13
24,5,14
25,5,15
26,5,16
27,5,17
28,5,18
29,5,19
30,6,13
31,6,14
32,6,15
33,6,16
34,6,17
35,6,18
36,6,19
37,7,13
38,7,14
39,7,15
40,7,16
41,7,17
42,7,18
43,7,19
44,8,20
45,8,21
46,8,22
47,8,23
48,8,24
49,8,25
50,9,26
51,9,27
52,10,28
53,10,29
54,10,30
55,10,31
56,10,32
57,11,33
58,11,34
59,11,35
60,11,36
61,11,37
62,12,38
63,12,39
64,12,40
65,12,41
66,12,42
67,13,43
68,13,44
69,13,45
70,13,46
71,13,47
72,13,48
73,13,49
74,13,50
75,14,51
76,14,52
77,14,53
78,16,54
79,17,55
80,18,56
