id,type,category,function_name,content,note,operator,priority,man_hours
1,localstorage,買い物リスト管理,買い物リスト一覧取得,買い物リスト一覧を取得,'買い物'タグが付いているタスクの詳細を開くと見れる。各項目の金額はデフォルトでは一番値段が安い店舗の情報が表示され、手動で店舗切り替え可能,user,32,3
2,localstorage,買い物リスト管理,買い物リスト合計金額取得,買い物リスト項目の合計金額を算出し取得,-,user,33,3
3,localstorage,買い物リスト管理,買い物リスト項目登録,買い物リストに買うべき物を登録,未完了の項目がない状態で登録すると'買い物'タグが付いたリストが自動的に追加される,user,27,3
4,localstorage,買い物リスト管理,買い物リスト項目編集,買い物リストの項目を編集,-,user,28,3
5,localstorage,買い物リスト管理,買い物完了,買い物リストの選択した項目を完了,リスト内の最後の項目を完了すると、'買い物'タグが付いたタスクが自動的に完了になる,user,29,3
6,localstorage,買い物リスト管理,買い物未完了,買い物リストの選択した項目を未完了,未完了の項目がない状態で未完了すると'買い物'タグが付いたリストが自動的に未完了になる,user,30,3
7,localstorage,買い物リスト管理,買い物リスト項目削除,買い物リストの選択した項目を買い物リストから削除,リスト内の最後の項目を削除すると、'買い物'タグが付いたタスクが自動的に完了になる,user,31,3
8,localstorage,スケジュール管理,スケジュール一覧取得,スケジュール一覧を取得,-,user,11,6
9,localstorage,スケジュール管理,スケジュール詳細取得,スケジュール詳細を取得,'スケジュール'タグが付いているタスクの詳細を開くと見れる,user,12,6
10,localstorage,スケジュール管理,スケジュール登録,スケジュールを登録,'スケジュール'タグが付いたリストが自動的に追加される,user,8,3
11,localstorage,スケジュール管理,スケジュール編集,選択したスケジュールを編集,-,user,9,3
12,localstorage,スケジュール管理,スケジュール削除,選択したスケジュールを削除,'スケジュール'タグが付いたタスクが自動的に削除される,user,10,3
13,localstorage,タスク管理,タスク一覧取得,タスク一覧を取得,-,user,6,6
14,localstorage,タスク管理,タスク詳細取得,タスク詳細を取得,直接手動で追加したタスクの詳細を開くと見れる,user,7,6
15,localstorage,タスク管理,タスク登録,タスクを登録,自動追加されたタスクにはそれぞれ対応するタグが、直接手動で追加したタスクには'その他'タグが付与される,user,1,12
16,localstorage,タスク管理,タスク編集,タスクを編集,-,user,2,3
17,localstorage,タスク管理,タスク完了,選択したタスクを完了,'買い物'タグが付いているタスクは直接完了できない（リスト項目単位での完了のみ許可されている）,user,3,3
18,localstorage,タスク管理,タスク未完了,選択したタスクを未完了,'買い物'タグが付いているタスクは直接未完了できない（リスト項目単位での未完了のみ許可されている）,user,4,3
19,localstorage,タスク管理,タスク削除,選択したタスクを削除,'買い物'タグが付いているタスクは直接削除できない（リスト項目単位での削除のみ許可されている）,user,5,3
20,localstorage,収支管理,収支一覧取得,収支一覧を取得,-,user,37,3
21,localstorage,収支管理,収支集計,収支集計結果を取得,-,user,38,3
22,localstorage,収支管理,収支詳細取得,収支詳細を取得,-,user,39,3
23,localstorage,収支管理,収支登録,収支項目を登録,-,user,34,3
24,localstorage,収支管理,収支編集,選択した収支項目を編集,-,user,35,3
25,localstorage,収支管理,収支削除,選択した収支項目を削除,-,user,36,3
26,javascript,開発管理,テキスト整形,入力したテキストを整形,-,admin,41,6
27,javascript,開発管理,テキストプレビュー,指定したテキストをプレビュー表示,-,admin,40,6
28,localstorage,楽曲管理,楽曲一覧取得,楽曲一覧を取得,-,user,45,3
29,localstorage,楽曲管理,楽曲詳細取得,楽曲詳細を取得,-,user,46,3
30,localstorage,楽曲管理,楽曲登録,楽曲を登録,-,user,42,3
31,localstorage,楽曲管理,楽曲編集,選択した楽曲を編集,-,user,43,3
32,localstorage,楽曲管理,楽曲削除,選択した楽曲を削除,-,user,44,3
33,localstorage,商品管理,商品一覧取得,商品一覧を取得,-,user,25,3
34,localstorage,商品管理,商品詳細取得,商品詳細を取得,-,user,26,3
35,localstorage,商品管理,商品登録,商品を登録,-,user,22,3
36,localstorage,商品管理,商品編集,選択した商品を編集,-,user,23,3
37,localstorage,商品管理,商品削除,選択した商品を削除,-,user,24,3
38,localstorage,創作物管理,創作物一覧取得,創作物一覧を取得,-,user,50,3
39,localstorage,創作物管理,創作物詳細取得,創作物詳細を取得,-,user,51,3
40,localstorage,創作物管理,創作物登録,創作物を登録,-,user,47,3
41,localstorage,創作物管理,創作物編集,選択した創作物を編集,-,user,48,3
42,localstorage,創作物管理,創作物削除,選択した創作物を削除,-,user,49,3
43,localstorage,筋トレ履歴管理,筋トレ一覧取得,筋トレ一覧を取得,-,user,16,3
44,localstorage,筋トレ履歴管理,筋トレ完了,筋トレを完了,-,user,15,3
45,localstorage,筋トレ回数管理,筋トレ回数編集,筋トレ回数を編集,-,user,13,3
46,localstorage,筋トレ内容管理,筋トレ内容一覧取得,筋トレ内容一覧を取得,-,user,20,3
47,localstorage,筋トレ内容管理,筋トレ内容登録,筋トレ内容を登録,-,user,17,3
48,localstorage,筋トレ内容管理,筋トレ内容編集,選択した筋トレ内容を編集,-,user,18,3
49,localstorage,筋トレ内容管理,筋トレ内容削除,選択した筋トレ内容を削除,-,user,19,3
50,localstorage,筋トレ設定管理,筋トレ設定編集,筋トレ設定を編集,-,user,21,3
51,api,データ管理,データ初期化,既存のデータを全て削除し、初期段階で必要なデータのみをデフォルト値で設定し直す,IDもリセットしたいのでマイグレーションのリフレッシュ使うかも,admin,52,3
52,api,データ管理,データ取得,スマホアプリにインポートさせるデータを取得する,-,user,53,3
53,api,データ管理,データ登録編集,データをスマホアプリからインポートし、未登録のデータは登録、登録済みのデータは更新する,-,user,54,3
54,batch,共通管理,タスク自動追加,スケジューリングされた作業・予定を、当日の0:00に自動的にその日のタスクとして登録する,-,batch,55,3
55,batch,共通管理,筋トレ自動追加,毎日0:05に自動的に筋トレを登録する,-,batch,14,3
56,batch,共通管理,未使用データ完全削除,削除されて1年経過したデータを完全削除,-,batch,56,3
